time_date_string,user_id,source_app,language,is_user_default_profile,is_user_geo_enabled,country,possibly_sensitive,user_profile_background_color,user.profile_text_color,user_profile_link_color,is_truncated,display_text_range,user.statuses_count,user_friends_count,user_followers_count,user_lists_count,number_of_user_mentions_in_tweet,number_of_medias_in_tweet,number_of_urls_in_tweet
2019-01-20T15:11:37.524Z,2184531482,Twitter for iPad,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,TRUE,117,60798,2111,2443,47,9,0,1
2019-01-20T15:52:34.139Z,3290389708,Twitter for Android,es,TRUE,TRUE,Argentina,,C0DEED,333333,1DA1F2,FALSE,16,3634,48,46,0,1,0,0
2019-01-20T10:20:11.081Z,6296892,Twitter for iPhone,en,FALSE,TRUE,United Kingdom,,9AE4E8,0,0000FF,FALSE,118,58515,3566,1900,62,2,0,0
2019-01-20T15:52:00.432Z,8.65E+17,Twitter for iPhone,en,FALSE,TRUE,United Kingdom,FALSE,0,0,F58EA8,FALSE,0,5039,726,310,1,0,1,0
2019-01-20T19:16:48.063Z,7.71E+17,Twitter for Android,en,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,FALSE,26,151,2408,157,0,1,0,0
2019-01-20T01:51:18.003Z,767608663,Twitter for iPhone,en,FALSE,TRUE,United States,,3B8BED,333333,E20EF5,FALSE,,39044,1070,1328,2,0,0,0
2019-01-20T17:25:35.206Z,234276434,Twitter for iPhone,en,FALSE,TRUE,United States,,C0DEED,333333,0084B4,FALSE,,65256,104,572,5,0,0,0
2019-01-20T06:59:02.843Z,3136940245,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,28909,1357,1457,9,0,0,0
2019-01-20T17:49:29.359Z,1.03E+18,Twitter for iPhone,en,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,FALSE,17,7627,262,98,0,1,0,0
2019-01-20T23:24:52.097Z,435278049,Twitter for iPhone,en,FALSE,TRUE,United States,,C0DEED,333333,0084B4,FALSE,,21609,586,804,1,0,0,0
2019-01-20T19:54:31.973Z,448171675,Twitter for Android,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,21267,1312,377,3,0,0,0
2019-01-20T09:09:18.607Z,1210320536,Twitter for iPhone,en,FALSE,TRUE,United States,,BADFCD,333333,0,FALSE,,66291,1528,2165,15,0,0,0
2019-01-20T00:32:15.158Z,604323030,Twitter for iPhone,en,FALSE,TRUE,United States,,FF6699,333333,7FDBB6,FALSE,,10140,415,183,0,0,0,0
2019-01-20T17:46:34.518Z,7.31E+17,Twitter for iPhone,pt,FALSE,TRUE,Argentina,,0,0,22,FALSE,,136762,4630,5475,36,0,0,0
2019-01-20T05:01:33.202Z,39325094,Twitter for iPad,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,TRUE,140,2908,310,46,1,1,0,1
2019-01-20T00:52:27.622Z,36344768,Twitter for Android,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,27,19,40,6,0,2,0,0
2019-01-20T22:10:20.552Z,52295040,Twitter for iPhone,en,FALSE,TRUE,United States,,B2DFDA,0,93A644,FALSE,,15582,630,678,1,0,0,0
2019-01-20T21:09:20.676Z,9.13E+17,Twitter for iPhone,en,FALSE,TRUE,United Kingdom,,0,0,FAB81E,FALSE,103,2314,148,520,1,1,0,0
2019-01-20T16:16:57.420Z,21707968,Twitter for iPhone,en,FALSE,TRUE,United States,,0,0,1B95E0,TRUE,59,2196,397,113,4,5,0,1
2019-01-20T16:56:20.230Z,2386961575,Twitter for Android,en,FALSE,TRUE,United Kingdom,FALSE,0,0,19CF86,FALSE,0,20025,355,3360,32,0,1,0
2019-01-20T12:07:42.262Z,19102105,Twitter for Android,en,TRUE,TRUE,India,FALSE,C0DEED,333333,1DA1F2,TRUE,140,826,102,69,1,0,0,1
2019-01-20T20:21:18.503Z,1613617057,Twitter for iPhone,en,FALSE,TRUE,United States,,0,3D1957,9266CC,FALSE,,24765,2827,1080,3,0,0,0
2019-01-20T09:45:11.639Z,1000900639,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,3995,163,215,0,0,0,0
2019-01-20T14:48:10.506Z,552319659,Twitter for iPhone,en,FALSE,TRUE,United States,,642D8B,3D1957,FF0000,FALSE,17,124016,650,935,2,1,0,0
2019-01-20T20:35:39.304Z,32634425,Twitter for Android,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,14,78383,4946,4419,7,1,0,0
2019-01-20T23:03:22.209Z,4750886667,Twitter for Android,es,TRUE,TRUE,Argentina,,F5F8FA,333333,1DA1F2,FALSE,42,5930,344,285,5,1,0,0
